Row,Column,rep,Heading date,gid
1,13,2,32,1
1,14,2,20,2
1,15,2,34,3
1,16,2,14,4
1,17,2,33,5
1,18,2,34,6
1,19,2,32,7
1,20,2,18,8
1,21,2,3,9
1,22,2,12,10
1,23,2,15,11
1,24,2,34,12
2,24,2,22,13
2,23,2,23,14
2,22,2,23,15
2,21,2,20,16
2,20,2,16,17
2,19,2,30,18
2,18,2,12,19
2,17,2,19,20
2,16,2,17,21
2,15,2,18,22
2,14,2,22,23
2,13,2,23,24
3,13,2,18,25
3,14,2,27,26
3,15,2,38,27
3,16,2,21,28
3,17,2,3,29
3,18,2,21,30
3,19,2,29,31
3,20,2,22,32
3,21,2,42,33
3,22,2,21,34
3,23,2,16,35
3,24,2,33,36
4,24,2,15,37
4,23,2,30,38
4,22,2,33,39
4,21,2,23,40
4,20,2,20,41
4,19,2,10,42
4,18,2,16,43
4,17,2,12,44
4,16,2,14,45
4,15,2,24,46
4,14,2,12,47
4,13,2,19,48
5,13,2,22,49
5,14,2,20,50
5,15,2,17,51
5,16,2,16,52
5,17,2,29,53
5,18,2,24,54
5,19,2,33,55
5,20,2,32,56
5,21,2,18,57
5,22,2,13,58
5,23,2,13,59
5,24,2,23,60
6,24,2,11,61
6,23,2,14,62
6,22,2,29,63
6,21,2,19,64
6,20,2,28,65
6,19,2,18,66
6,18,2,33,67
6,17,2,16,68
6,16,2,19,69
6,15,2,15,70
6,14,2,19,71
6,13,2,12,72
7,13,2,28,73
7,14,2,34,74
7,15,2,28,75
7,16,2,16,76
7,17,2,20,77
7,18,2,22,78
7,19,2,25,79
7,20,2,32,80
7,21,2,10,81
7,22,2,28,82
7,23,2,14,83
7,24,2,14,84
8,24,2,19,85
8,23,2,13,86
8,22,2,13,87
8,21,2,20,88
8,20,2,23,89
8,19,2,17,90
8,18,2,26,91
8,17,2,26,92
8,16,2,14,93
8,15,2,36,94
8,14,2,42,95
8,13,2,20,96
9,13,2,20,97
9,14,2,18,98
9,15,2,14,99
9,16,2,24,100
9,17,2,25,101
9,18,2,33,102
9,19,2,17,103
9,20,2,27,104
9,21,2,16,105
9,22,2,25,106
9,23,2,27,107
9,24,2,32,108
10,24,2,26,109
10,23,2,33,110
10,22,2,20,111
10,21,2,33,112
10,20,2,19,113
10,19,2,14,114
10,18,2,27,115
10,17,2,42,116
10,16,2,16,117
10,15,2,28,118
10,14,2,20,119
10,13,2,29,120
11,13,2,20,121
11,14,2,23,122
11,15,2,20,123
11,16,2,25,124
11,17,2,14,125
11,18,2,18,126
11,19,2,25,127
11,20,2,20,128
11,21,2,26,129
11,22,2,32,130
11,23,2,30,131
11,24,2,18,132
12,24,2,20,133
12,23,2,27,134
12,22,2,14,135
12,21,2,35,136
12,20,2,21,137
12,19,2,14,138
12,18,2,22,139
12,17,2,22,140
12,16,2,32,141
12,15,2,34,142
12,14,2,15,143
12,13,2,33,144
13,13,2,21,145
13,14,2,15,146
13,15,2,18,147
13,16,2,16,148
13,17,2,33,149
13,18,2,32,150
13,19,2,16,151
13,20,2,24,152
13,21,2,33,153
13,22,2,27,154
13,23,2,16,155
13,24,2,14,156
14,24,2,16,157
14,23,2,15,158
14,22,2,20,159
14,21,2,18,160
14,20,2,25,161
14,19,2,26,162
14,18,2,42,163
14,17,2,24,164
14,16,2,15,165
14,15,2,19,166
14,14,2,18,167
14,13,2,16,168
15,13,2,14,169
15,14,2,15,170
15,15,2,33,171
15,16,2,17,172
15,17,2,24,173
15,18,2,32,174
15,19,2,26,175
15,20,2,9,176
15,21,2,16,177
15,22,2,17,178
15,23,2,19,179
15,24,2,19,180
16,24,2,33,181
16,23,2,16,182
16,22,2,28,183
16,21,2,25,184
16,20,2,26,185
16,19,2,27,186
16,18,2,19,187
16,17,2,34,188
16,16,2,13,189
16,15,2,25,190
16,14,2,13,191
16,13,2,20,192
17,13,2,18,193
17,14,2,14,194
17,15,2,9,195
17,16,2,19,196
17,17,2,34,197
17,18,2,27,198
17,19,2,26,199
17,20,2,34,200
17,21,2,15,201
17,22,2,16,202
17,23,2,19,203
17,24,2,22,204
18,24,2,19,205
18,23,2,22,206
18,22,2,33,207
18,21,2,32,208
18,20,2,33,209
18,19,2,17,210
18,18,2,28,211
18,17,2,22,212
18,16,2,23,213
18,15,2,19,214
18,14,2,10,215
18,13,2,8,216
19,13,2,22,217
19,14,2,9,218
19,15,2,4,219
19,16,2,35,220
19,17,2,33,221
19,18,2,23,222
19,19,2,20,223
19,20,2,20,224
19,21,2,8,225
19,22,2,33,226
19,23,2,29,227
19,24,2,32,228
20,24,2,23,229
20,23,2,32,230
20,22,2,29,231
20,21,2,19,232
20,20,2,26,233
20,19,2,20,234
20,18,2,16,235
20,17,2,4,236
20,16,2,16,237
20,15,2,16,238
20,14,2,6,239
20,13,2,20,240
21,13,2,29,241
21,14,2,35,242
21,15,2,20,243
21,16,2,28,244
21,17,2,29,245
21,18,2,33,246
21,19,2,24,247
21,20,2,32,248
21,21,2,35,249
21,22,2,23,250
21,23,2,33,251
21,24,2,20,252
22,24,2,29,253
22,23,2,16,254
22,22,2,29,255
22,21,2,11,256
22,20,2,28,257
22,19,2,29,258
22,18,2,33,259
22,17,2,11,260
22,16,2,12,261
22,15,2,27,262
22,14,2,19,263
22,13,2,27,264
